# Data for Prokaryotes_0213
ANFL001c01 : circular
ANMA001c01 : circular
ANMA002c01 : circular
ANMO001c01 : circular
ANPH001c01 : circular
ANPR001c01 : circular
ANPR001p01 : circular
ANSF001c01 : circular
ANSP001c01 : circular
ANTH001c01 : circular
ANTH001p01 : circular
ANTH001p02 : circular
ANTP001c01 : circular
ANVA001c01 : circular
ANVA001p01 : circular
ANVA001p02 : circular
ANVA001p03 : circular
ANVA001p04 : linear
AQAE001c01 : circular
AQAE001p01 : circular
ARAR001c01 : circular
ARAR001p01 : circular
ARAR001p02 : circular
ARAU001c01 : circular
ARAU001p01 : circular
ARAU001p02 : circular
ARBU001c01 : circular
ARBU002c01 : circular
ARCH001c01 : circular
ARCH001p01 : circular
ARCH001p03 : circular
ARFB001c01 : circular
ARFB001p01 : circular
ARFB001p02 : circular
ARFB001p03 : circular
ARFU001c01 : circular
ARHA001c01 : circular
ARLL001c01 : circular
ARLL001p01 : circular
ARNI001c01 : circular
ARPH001c01 : circular
ARPH001p01 : circular
ARPH001p02 : circular
ARPR001c01 : circular
ARPR001p01 : circular
ARRU001c01 : circular
ARRU001p01 : circular
ARSF001c01 : circular
ARSF002c01 : circular
ARSF003c01 : circular
ARSP001c01 : circular
ARVE001c01 : circular
ASEX001c01 : circular
ASEX001c02 : circular
ASEX001p01 : circular
ASEX001p02 : circular
ATPA001c01 : circular
AZB5001c01 : circular
AZB5001p01 : circular
AZB5001p02 : circular
AZB5001p03 : circular
AZB5001p04 : circular
AZB5001p05 : circular
AZB5001p06 : circular
AZBR001c01 : circular
AZBR001p01 : circular
AZBR001p02 : circular
AZBR001p03 : circular
AZBR001p04 : circular
AZBR001p05 : circular
AZBR001p06 : circular
AZCA001c01 : circular
AZLI001c01 : circular
AZLI001p01 : circular
AZLI001p02 : circular
AZLI001p03 : circular
AZLI001p04 : circular
AZLI001p05 : circular
AZLI001p06 : circular
AZPS001c01 : circular
AZPS001p01 : circular
AZPS001p02 : circular
AZPS001p03 : circular
AZPS001p04 : circular
AZSP001c01 : circular
AZSP001p01 : circular
AZSP001p02 : circular
AZSP002c01 : circular
AZVI001c01 : circular
BAAM001c01 : circular
BAAM002c01 : circular
BAAM003c01 : circular
BAAM004c01 : circular
BAAM005c01 : circular
BAAM005p01 : circular
BAAM006c01 : circular
BAAM007c01 : circular
BAAM008c01 : circular
BAAM009c01 : circular
BAAN001c01 : circular
BAAN002c01 : circular
BAAN002p01 : circular
BAAN002p02 : circular
BAAN003c01 : circular
BAAN003p01 : circular
BAAN003p02 : circular
BAAN004c01 : circular
BAAN005c01 : circular
BAAN005p01 : circular
BAAN005p02 : circular
BAAN006c01 : circular
BAAN006p01 : circular
BAAN006p02 : circular
BAAN006p03 : circular
BAAN007c01 : circular
BAAN007p01 : circular
BAAN007p02 : circular
BAAT001c01 : circular
BABA001c01 : circular
BACE001c01 : circular
BACE001p01 : circular
BACE001p02 : circular
BACE001p03 : circular
BACE001p04 : circular
BACE002c01 : circular
BACE002p01 : circular
BACE003c01 : circular
BACE003p01 : circular
BACE003p02 : circular
BACE003p03 : circular
BACE003p04 : circular
BACE003p05 : circular
BACE004c01 : circular
BACE005c01 : linear
BACE005p01 : linear
BACE005p02 : linear
BACE005p03 : linear
BACE006c01 : circular
BACE006p01 : linear
BACE007c01 : linear
BACE007p01 : linear
BACE007p02 : linear
BACE008c01 : circular
BACE008p01 : circular
BACE009c01 : circular
BACE009p01 : circular
BACE009p02 : circular
BACE010c01 : circular
BACE010p01 : circular
BACE011c01 : circular
BACE011p01 : circular
BACE011p02 : circular
BACE012c01 : circular
BACE012p01 : circular
BACE012p02 : circular
BACE012p03 : circular
BACE012p04 : circular
BACE012p05 : circular
BACE013c01 : circular
BACE013p01 : circular
BACE013p02 : circular
BACE013p03 : circular
BACE013p04 : circular
BACG001c01 : circular
BACI001c01 : linear
BACL001c01 : circular
BACO001c01 : circular
BACO002c01 : circular
BACU001c01 : circular
BAFR001c01 : circular
BAFR001p01 : circular
BAFR002c01 : circular
BAFR002p01 : circular
BAFR003c01 : linear
BAGR001c01 : circular
BAGR001p01 : circular
BAHA001c01 : circular
BAHE001c01 : circular
BAHL001c01 : circular
BAJS001c01 : circular
BALI001c01 : circular
BALI002c01 : circular
BAMA001c01 : linear
BAMA001p01 : circular
BAME001c01 : circular
BAME001p01 : circular
BAME001p02 : circular
BAME001p03 : circular
BAME001p04 : circular
BAME001p05 : circular
BAME001p06 : circular
BAME001p07 : circular
BAME002c01 : circular
BAME003c01 : circular
BAME003p01 : circular
BAME003p02 : circular
BAME003p03 : circular
BAPS001c01 : circular
BAPS001p01 : circular
BAPS001p02 : circular
BAPU001c01 : circular
BAQU001c01 : circular
BAQU002c01 : circular
BASA001c01 : circular
BASA001p01 : circular
BASA001p02 : circular
BASA001p03 : circular
BASE001c01 : circular
BASP001c01 : circular
BASP001p01 : circular
BASP001p02 : circular
BASP001p03 : circular
BASU001c01 : circular
BASU002c01 : circular
BASU003c01 : circular
BASU004c01 : circular
BASU005c01 : circular
BASU006c01 : circular
BASU007c01 : circular
BASU008c01 : circular
BATH001c01 : circular
BATH001p01 : circular
BATR001c01 : circular
BATR001p01 : circular
BATS001c01 : circular
BATU001c01 : circular
BATU001p01 : circular
BATU002c01 : circular
BATU002p01 : circular
BATU003c01 : circular
BATU003p01 : circular
BATU004c01 : circular
BATU004p01 : circular
BATU004p02 : circular
BATU005c01 : circular
BATU005p01 : circular
BATU005p02 : circular
BATU005p03 : circular
BATU005p04 : circular
BATU005p05 : circular
BATU005p06 : circular
BATU005p07 : circular
BATU005p08 : circular
BATU005p09 : circular
BATU005p10 : circular
BATU006c01 : circular
BATU006p01 : circular
BATU006p02 : circular
BATU006p03 : circular
BATU006p04 : circular
BATU006p05 : circular
BATU006p06 : circular
BATU007c01 : circular
BATU007p01 : circular
BATU007p02 : circular
BATU007p03 : circular
BATU007p04 : circular
BATU007p05 : circular
BATU007p06 : circular
BATU007p07 : circular
BATU008c01 : circular
BATU008p01 : circular
BATU008p02 : circular
BATU008p03 : circular
BATU008p04 : circular
BATU008p05 : circular
BATU008p06 : circular
BATU008p07 : circular
BATU008p08 : circular
BATU008p09 : circular
BAVU001c01 : circular
BAWE001c01 : circular
BAWE001p01 : circular
BAWE001p02 : circular
BAWE001p03 : circular
BAWE001p04 : circular
BDBA001c01 : circular
BDBA002c01 : circular
BEBA001c01 : circular
BECA001c01 : circular
BEIN001c01 : circular
BEIN001p01 : circular
BEIN001p02 : circular
BIAD001c01 : circular
BIAN001c01 : circular
BIAN002c01 : circular
BIAN003c01 : circular
BIAN004c01 : circular
BIAN005c01 : circular
BIAN006c01 : circular
BIAN007c01 : circular
BIAN008c01 : circular
BIAN009c01 : circular
BIAN010c01 : circular
BIAS001c01 : circular
BIBI001c01 : circular
BIBI002c01 : circular
BIBI003c01 : circular
BIBR001c01 : circular
BIDE001c01 : circular
BILO001c01 : circular
BILO001p01 : circular
BILO002c01 : circular
BILO002p01 : circular
BILO002p02 : circular
BILO003c01 : circular
BILO004c01 : circular
BILO005c01 : circular
BILO006c01 : circular
BILO006p01 : circular
BILO006p02 : circular
BILO007c01 : circular
BILO008c01 : circular
BILO010c01 : circular
BILO010p01 : circular
BILO010p02 : circular
BLBG001c01 : circular
BLBG001p01 : circular
BLCH001c01 : circular
BLCP001c01 : circular
BLCP001p01 : circular
BLGE001c01 : circular
BLGE001p01 : circular
BLMD001c01 : circular
BLMD001p01 : circular
BLPE001c01 : circular
BLPE001p01 : circular
BLSA001c01 : circular
BLVA001c01 : circular
BOAF001c01 : linear
BOAF001p01 : circular
BOAF001p02 : circular
BOAF001p03 : linear
BOAF001p04 : linear
BOAF001p05 : linear
BOAF001p06 : linear
BOAF001p07 : linear
BOAF001p08 : linear
BOAF002c01 : linear
BOAF002p01 : circular
BOAF002p02 : circular
BOAF002p03 : circular
BOAF002p04 : circular
BOAF002p05 : circular
BOAF002p06 : circular
BOAF002p07 : circular
BOAF002p08 : circular
BOAF002p09 : linear
BOAF002p10 : linear
BOAF002p11 : linear
BOAF002p12 : linear
BOAF002p13 : linear
BOAF002p14 : linear
BOAF002p15 : linear
BOAF002p16 : linear
BOAF002p17 : linear
BOAF003c01 : linear
BOAV001c01 : circular
BOBI001c01 : linear
BOBI001p01 : circular
BOBI001p02 : circular
BOBI001p03 : circular
BOBI001p04 : circular
BOBI001p05 : circular
BOBI001p06 : circular
BOBI001p07 : circular
BOBI001p08 : circular
BOBI001p09 : circular
BOBI001p10 : linear
BOBI001p11 : linear
BOBI001p12 : linear
BOBI001p13 : linear
BOBI001p14 : linear
BOBI001p15 : linear
BOBI001p16 : linear
BOBR001c01 : circular
BOBR002c01 : circular
BOBR003c01 : circular
BOBU001c01 : linear
BOBU001p01 : circular
BOBU001p02 : circular
BOBU001p04 : circular
BOBU001p05 : circular
BOBU001p06 : circular
BOBU001p07 : circular
BOBU001p08 : circular
BOBU001p09 : circular
BOBU001p10 : linear
BOBU001p11 : linear
BOBU001p12 : linear
BOBU001p13 : linear
BOBU001p14 : linear
BOBU001p15 : linear
BOBU001p16 : linear
BOBU001p17 : linear
BOBU001p18 : linear
BOBU001p19 : linear
BOBU001p20 : linear
BOBU001p21 : linear
BOBU001p22 : circular
BOBU002c01 : circular
BOBU002p01 : circular
BOBU002p02 : circular
BOBU002p03 : linear
BOBU002p04 : linear
BOBU002p05 : linear
BOBU002p06 : linear
BOBU002p07 : linear
BOBU002p08 : linear
BOBU002p09 : linear
BOBU002p10 : linear
BOBU002p11 : circular
BOBU002p12 : circular
BOBU002p13 : circular
BOBU002p14 : circular
BOBU003c01 : linear
BOBU003p01 : linear
BOBU003p02 : circular
BOBU003p03 : circular
BOBU003p04 : linear
BOBU003p05 : circular
BOBU003p06 : linear
BOBU003p07 : linear
BOBU003p08 : linear
BOBU003p09 : circular
BOBU003p10 : linear
BOBU003p11 : linear
BOBU003p12 : circular
BOBU003p13 : circular
BOBU003p14 : circular
BOBU003p15 : linear
BOBU003p16 : circular
BOBU004c01 : linear
BOBU004p01 : linear
BOBU004p02 : linear
BOBU004p03 : linear
BOBU004p04 : circular
BOBU004p05 : linear
BOBU004p06 : circular
BOBU004p07 : circular
BOBU004p08 : circular
BOBU004p09 : linear
BOBU004p10 : linear
BOBU004p11 : linear
BOBU004p12 : circular
BOBU004p13 : linear
BOBU004p14 : linear
BOBU004p15 : linear
BOBU004p16 : circular
BOBU004p17 : circular
BOBU004p18 : circular
BOBU004p19 : circular
BOBU004p20 : linear
BOCR001c01 : linear
BOCR001p01 : linear
BOCR001p02 : linear
BOCR001p03 : linear
BOCR001p04 : linear
BOCR001p05 : linear
BOCR001p06 : linear
BOCR001p07 : linear
BOCR001p08 : linear
BOCR001p09 : linear
BOCR001p10 : linear
BOCR001p11 : linear
BOCR001p12 : linear
BOCR001p13 : linear
BOCR001p14 : linear
BOCR001p15 : linear
BOCR001p16 : linear
BOCR001p17 : linear
BOCR001p18 : linear
BOCR001p19 : linear
BOCR001p20 : linear
BOCR001p21 : linear
BOCR001p22 : linear
BOCR001p23 : linear
BOCR001p24 : linear
BOCR001p25 : linear
BOCR001p26 : linear
BOCR001p27 : linear
BOCR001p28 : linear
BOCR001p29 : linear
BOCR001p30 : linear
BOCR001p31 : linear
BOCR001p32 : linear
BOCR001p33 : linear
BOCR001p34 : linear
BOCR001p35 : linear
BOCR001p36 : linear
BOCR001p37 : linear
BOCR001p38 : linear
BOCR001p39 : linear
BODU001c01 : linear
BODU001p01 : circular
BODU001p02 : linear
BODU001p03 : linear
BODU001p04 : linear
BODU001p05 : linear
BODU001p06 : linear
BODU001p07 : linear
BODU001p08 : linear
BODU001p09 : linear
BODU001p10 : linear
BODU001p11 : linear
BODU001p12 : linear
BODU001p13 : linear
BODU001p14 : linear
BODU001p15 : linear
BODU001p16 : linear
BOGA001c01 : linear
BOGA001p01 : linear
BOGA001p06 : linear
BOGA002c01 : linear
BOGA002p01 : circular
BOGA002p02 : linear
BOGA003c01 : linear
BOHE001c01 : linear
BOPA001c01 : circular
BOPA002c01 : circular
BOPA002p01 : circular
BOPE001c01 : circular
BOPE002c01 : circular
BOPE003c01 : circular
BOPT001c01 : circular
BORE001c01 : linear
BORE001p01 : linear
BORE001p02 : linear
BORE001p03 : linear
BORE001p04 : linear
BORE001p05 : linear
BORE001p06 : linear
BORE001p07 : linear
BOTU001c01 : linear
BRAB001c01 : circular
BRAB001c02 : circular
BRAB002c01 : circular
BRAB002c02 : circular
BRAB003c01 : circular
BRAB003c02 : circular
BRAV001c01 : circular
BRAV001c02 : circular
BRBE001c01 : circular
BRCA001c01 : circular
BRCA001c02 : circular
BRCA002c01 : circular
BRCA002c02 : circular
BRFA001c01 : circular
BRHY001c01 : circular
BRHY001p01 : circular
BRIN001c01 : circular
BRIN001p01 : circular
BRJA001c01 : circular
BRJA002c01 : circular
BRME001c01 : circular
BRME001c02 : circular
BRME002c01 : circular
BRME002c02 : circular
BRME003c01 : circular
BRME003c02 : circular
BRME004c01 : circular
BRME004c02 : circular
BRME005c01 : circular
BRME005c02 : circular
BRME006c01 : circular
BRME006c02 : circular
BRMI001c01 : circular
BRMI001c02 : circular
BRMU010c01 : circular
BRPI001c01 : circular
BRPI002c01 : circular
BRPI003c01 : circular
BRPI004c01 : circular
BRPN001c01 : circular
BRPN001c02 : circular
BRS2001c01 : circular
BRSB001c01 : circular
BRSP001c01 : circular
BRSP002c01 : circular
BRSP002p01 : circular
BRSU001c01 : circular
BRSU001c02 : circular
BRSU002c01 : circular
BRSU002c02 : circular
BRSU003c01 : circular
BRSU003c02 : circular
BRSU004c01 : circular
BRSU004c02 : circular
BU38001c01 : circular
BU38001c02 : circular
BU38001c03 : circular
BUAM001c01 : circular
BUAM001c02 : circular
BUAM001c03 : circular
BUAM001p01 : circular
BUAM002c01 : circular
BUAM002c02 : circular
BUAM002c03 : circular
BUAM002p01 : circular
BUAP001c01 : circular
BUAP002c01 : circular
BUAP002p01 : circular
BUAP002p02 : circular
BUAP003c01 : circular
BUAP003p01 : circular
BUAP004c01 : circular
BUAP004p01 : circular
BUAP005c01 : circular
BUAP006c01 : circular
BUAP007c01 : circular
BUAP008c01 : circular
BUAP009c01 : circular
BUAP010c01 : circular
BUAP011c01 : circular
BUAP012c01 : circular
BUAP012p01 : circular
BUAP012p02 : circular
BUAP013c01 : circular
BUAP013p01 : circular
BUAP013p02 : circular
BUC1001c01 : circular
BUC1001c02 : circular
BUCC001c01 : circular
BUCC001c02 : circular
BUCC001c03 : circular
BUCC003c01 : circular
BUCC003c02 : circular
BUCC003c03 : circular
BUCC003p01 : circular
BUCC004c01 : circular
BUCC004c02 : circular
BUCC004c03 : circular
